users.qq.com	[123.206.33.170]
star.qq.com	[103.7.30.123]
root.qq.com	[203.205.128.167]
cafe.qq.com	[58.251.81.31]
imp.qq.com	[14.17.42.15]
config.qq.com	[0.0.0.1]
learn.qq.com	[0.0.0.1]
itv.qq.com	[0.0.0.1]
mga.qq.com	[203.205.219.232]
dcf.qq.com	[203.205.179.231 203.205.179.230]
bd.qq.com	[0.0.0.1]
sf.qq.com	[61.151.217.46 101.226.86.182]
ca.qq.com	[0.0.0.1]
sps.qq.com	[0.0.0.1]
index.qq.com	[0.0.0.1]
dl.qq.com	[119.39.204.41]
cloudphone.qq.com	[0.0.0.1]
wifi.qq.com	[203.205.179.231 203.205.179.230]
dj.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
ee.qq.com	[0.0.0.1]
c.qq.com	[203.205.179.231 203.205.179.230]
live.qq.com	[119.28.164.78 203.205.138.118 203.205.138.12 119.28.164.206 203.205.138.76 119.28.164.205 203.205.138.106 119.28.164.79 119.28.165.14 119.28.164.204 203.205.138.233 203.205.138.78]
kb.qq.com	[103.7.30.123]
me.qq.com	[203.205.219.231]
le.qq.com	[112.90.77.203]
tap.qq.com	[0.0.0.1]
404.qq.com	[0.0.0.1]
hc.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
az.qq.com	[0.0.0.1]
mt.qq.com	[0.0.0.1]
delta.qq.com	[0.0.0.1]
monster.qq.com	[0.0.0.1]
rpg.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
login.qq.com	[0.0.0.1]
so.qq.com	[0.0.0.1]
6.qq.com	[0.0.0.1]
yuedu.qq.com	[0.0.0.1]
victor.qq.com	[203.205.142.147]
2012.qq.com	[203.205.151.47]
t.qq.com	[103.7.30.52]
emperor.qq.com	[192.1.0.0]
fun.qq.com	[183.232.88.156]
og.qq.com	[203.205.179.231 203.205.179.230]
sports.qq.com	[203.205.151.47]
download.qq.com	[184.51.15.172 184.51.15.142]
panel.qq.com	[203.205.151.47]
3d.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
108.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
52.qq.com	[58.250.136.104]
adv.qq.com	[0.0.0.1]
3g.qq.com	[101.226.86.182 61.151.217.46]
hotel.qq.com	[203.205.147.218]
account.qq.com	[14.17.41.220]
hera.qq.com	[61.129.7.121]
sport.qq.com	[103.7.30.123]
bs.qq.com	[183.232.94.102]
analytics.qq.com	[203.205.151.47]
cc.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
mobile.qq.com	[101.226.86.182 61.151.217.46]
developer.qq.com	[183.232.94.17]
venus.qq.com	[0.0.0.1]
signup.qq.com	[203.205.151.191]
idata.qq.com	[0.0.0.1]
art.qq.com	[163.177.71.179]
lineage2.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
ktv.qq.com	[0.0.0.1]
service.qq.com	[157.255.173.152]
poker.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
helper.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
master.qq.com	[0.0.0.1]
apple.qq.com	[163.177.68.205]
client.qq.com	[0.0.0.1]
img1.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
photo.qq.com	[203.205.147.218]
rpc.qq.com	[0.0.0.1]
happy.qq.com	[183.61.46.160]
wsop.qq.com	[0.0.0.1]
shu.qq.com	[0.0.0.1]
ino.qq.com	[203.205.218.80]
hi.qq.com	[103.7.28.160]
in.qq.com	[0.0.0.1]
gu.qq.com	[203.205.151.45]
kernel.qq.com	[61.151.191.145]
ja.qq.com	[0.0.0.1]
ka.qq.com	[0.0.0.1]
jp.qq.com	[203.205.219.231]
qqhaoma.qq.com	[203.205.151.26]
cash.qq.com	[203.205.151.88]
pro.qq.com	[0.0.0.1]
r.qq.com	[101.227.130.70]
teacher.qq.com	[0.0.0.1]
nl.qq.com	[203.205.147.218]
pc.qq.com	[203.205.128.167]
community.qq.com	[0.0.0.1]
qy.qq.com	[0.0.0.1]
pt.qq.com	[0.0.0.1]
ro.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
pr.qq.com	[0.0.0.1]
tt.qq.com	[203.205.128.167]
ru.qq.com	[203.205.151.47]
uu.qq.com	[0.0.0.1]
vi.qq.com	[0.0.0.1]
site.qq.com	[61.151.217.46 101.226.86.182]
2011.qq.com	[203.205.151.47]
card.qq.com	[58.250.136.104]
labs.qq.com	[0.0.0.1]
money.qq.com	[203.205.151.47]
journal.qq.com	[101.226.103.89]
cool.qq.com	[203.205.147.218]
w.qq.com	[203.205.151.26]
penguin.qq.com	[58.251.81.223]
focus.qq.com	[0.0.0.1]
5.qq.com	[0.0.0.1]
just.qq.com	[175.155.120.111]
ftx.qq.com	[0.0.0.1]
mtv.qq.com	[0.0.0.1]
abc.qq.com	[203.205.128.11]
2008.qq.com	[103.7.30.123]
excel.qq.com	[0.0.0.1]
yuan.qq.com	[0.0.0.1]
big.qq.com	[0.0.0.1]
popo.qq.com	[0.0.0.1]
emarketing.qq.com	[0.0.0.1]
pic.qq.com	[203.205.128.167]
hsbc.qq.com	[0.0.0.1]
samsung.qq.com	[0.0.0.1]
tcc.qq.com	[125.39.213.73]
yoyo.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
ing.qq.com	[0.0.0.1]
memo.qq.com	[163.177.90.103]
nokia.qq.com	[0.0.0.1]
soho.qq.com	[203.205.179.231 203.205.179.230]
tuya.qq.com	[0.0.0.1]
visa.qq.com	[0.0.0.1]
avon.qq.com	[0.0.0.1]
world.qq.com	[203.205.151.47]
tech.qq.com	[203.205.151.47]
ns4.qq.com	[125.39.247.247 184.105.206.124 203.205.220.27 58.144.154.100 125.39.46.125]
ef.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
ts1.qq.com	[59.36.120.122]
inbound.qq.com	[0.0.0.1]
sky.qq.com	[203.205.151.41]
test.qq.com	[58.250.137.42]
conf.qq.com	[0.0.0.1]
west.qq.com	[0.0.0.1]
social.qq.com	[61.129.7.70]
testing.qq.com	[0.0.0.1]
7.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
pictures.qq.com	[58.251.80.193]
http.qq.com	[103.7.30.123]
sw.qq.com	[0.0.0.1]
easy.qq.com	[183.57.48.61]
nissan.qq.com	[0.0.0.1]
0.qq.com	[0.0.0.1]
gp.qq.com	[0.0.0.1]
train.qq.com	[0.0.0.1]
nc.qq.com	[117.135.175.159]
source.qq.com	[203.205.128.216]
sm.qq.com	[0.0.0.1]
www1.qq.com	[0.0.0.1]
dragon.qq.com	[0.0.0.1]
lincoln.qq.com	[0.0.0.1]
supplier.qq.com	[58.250.137.46]
mgc.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
hu.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
front.qq.com	[0.0.0.1]
hm.qq.com	[203.205.151.26]
tx.qq.com	[0.0.0.1]
hn.qq.com	[203.205.151.47]
athena.qq.com	[139.199.233.134]
an.qq.com	[0.0.0.1]
sun.qq.com	[0.0.0.1]
aq.qq.com	[14.17.41.220]
proxy.qq.com	[103.7.30.123]
research.qq.com	[0.0.0.1]
file.qq.com	[163.177.73.175 163.177.73.176 163.177.73.178 163.177.73.162]
gd.qq.com	[203.205.151.47]
email.qq.com	[203.205.128.111 103.7.30.100]
link.qq.com	[0.0.0.1]
bz.qq.com	[111.161.64.48 111.161.64.40]
cv.qq.com	[0.0.0.1]
cm.qq.com	[0.0.0.1]
developers.qq.com	[0.0.0.1]
tour.qq.com	[203.205.151.47]
cert.qq.com	[0.0.0.1]
at.qq.com	[203.205.179.231 203.205.179.230]
ec.qq.com	[125.39.83.100]
build.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
as.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
by.qq.com	[203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37]
ak.qq.com	[0.0.0.1]
cd.qq.com	[203.205.151.47]
ie.qq.com	[203.205.179.231 203.205.179.230]
dc.qq.com	[203.205.128.160]
af.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
name.qq.com	[0.0.0.1]
co.qq.com	[0.0.0.1]
cr.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
security.qq.com	[14.17.41.220]
antivirus.qq.com	[0.0.0.1]
bg.qq.com	[203.205.179.231 203.205.179.230]
et.qq.com	[0.0.0.1]
sj.qq.com	[203.205.128.167]
fw.qq.com	[203.205.151.47]
ups.qq.com	[0.0.0.1]
ch.qq.com	[0.0.0.1]
gg.qq.com	[0.0.0.1]
gy.qq.com	[203.205.151.47]
cz.qq.com	[0.0.0.1]
iq.qq.com	[0.0.0.1]
ops.qq.com	[0.0.0.1]
smc.qq.com	[203.205.128.158]
gs.qq.com	[0.0.0.1]
hk.qq.com	[203.205.140.114 203.205.140.29]
gl.qq.com	[0.0.0.1]
auth.qq.com	[203.205.128.177]
mx1.qq.com	[103.7.30.40]
l.qq.com	[203.205.151.51]
backup.qq.com	[101.226.86.182 61.151.217.46]
io.qq.com	[0.0.0.1]
bof.qq.com	[59.37.116.28]
bj.qq.com	[203.205.151.47]
fm.qq.com	[203.205.151.222]
im.qq.com	[203.205.151.21]
storage.qq.com	[0.0.0.1]
pub.qq.com	[0.0.0.1]
secret.qq.com	[0.0.0.1]
gf.qq.com	[0.0.0.1]
17.qq.com	[58.250.136.104]
lt.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
fo.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
webdev.qq.com	[61.151.217.46 101.226.86.182]
lb.qq.com	[0.0.0.1]
9.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
hp.qq.com	[203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79 203.205.158.59]
ms.qq.com	[203.205.179.230 203.205.179.231]
gt.qq.com	[203.205.128.168 203.205.128.169]
mq.qq.com	[183.61.51.29]
wiki.qq.com	[0.0.0.1]
sec.qq.com	[113.108.21.117]
f.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
ls.qq.com	[0.0.0.1]
g.qq.com	[101.226.233.187]
pics.qq.com	[103.7.30.123]
desktop.qq.com	[203.205.128.167]
bob.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
mx.qq.com	[0.0.0.1]
lk.qq.com	[203.205.128.167]
lr.qq.com	[203.205.158.64 203.205.158.58 203.205.138.20 203.205.138.21 203.205.158.65]
ajax.qq.com	[101.226.86.182 61.151.217.46]
ke.qq.com	[203.205.147.235]
mp.qq.com	[203.205.151.50]
whois.qq.com	[0.0.0.1]
md.qq.com	[0.0.0.1]
kh.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
np.qq.com	[0.0.0.1]
nd.qq.com	[103.7.30.86]
ns.qq.com	[0.0.0.1]
bm.qq.com	[123.206.3.14]
dz.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
ng.qq.com	[0.0.0.1]
cg.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
nf.qq.com	[0.0.0.1]
ps.qq.com	[0.0.0.1]
py.qq.com	[103.7.30.111]
maps.qq.com	[203.205.128.186]
events.qq.com	[0.0.0.1]
nt.qq.com	[203.205.151.41]
apps.qq.com	[203.205.219.228]
rc.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
fs.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
mv.qq.com	[203.205.158.35 203.205.158.53 203.205.158.54 203.205.158.34 203.205.138.71 203.205.158.55 203.205.158.56]
mg.qq.com	[203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57]
mh.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
mm.qq.com	[58.251.148.247 58.251.148.139]
flash.qq.com	[103.7.30.123]
xmail.qq.com	[0.0.0.1]
kp.qq.com	[203.205.179.230 203.205.179.231]
voice.qq.com	[203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57]
tool.qq.com	[0.0.0.1]
sales.qq.com	[203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38]
qa.qq.com	[0.0.0.1]
rs.qq.com	[0.0.0.1]
mk.qq.com	[0.0.0.1]
sr.qq.com	[0.0.0.1]
td.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
app1.qq.com	[0.0.0.1]
vm.qq.com	[203.205.147.218]
sz.qq.com	[0.0.0.1]
monitoring.qq.com	[0.0.0.1]
sl.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
tw.qq.com	[103.7.28.160]
tg.qq.com	[58.251.139.167]
ut.qq.com	[0.0.0.1]
feedback.qq.com	[203.205.179.231 203.205.179.230]
tf.qq.com	[61.151.217.46 101.226.86.182]
sy.qq.com	[112.90.74.173]
gold.qq.com	[0.0.0.1]
ph.qq.com	[58.251.148.139 58.251.148.247]
qmail.qq.com	[203.205.128.111 103.7.30.100]
tp.qq.com	[203.205.151.46]
japan.qq.com	[0.0.0.1]
tm.qq.com	[0.0.0.1]
mo.qq.com	[0.0.0.1]
wan.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
enterprise.qq.com	[112.90.77.139]
ly.qq.com	[203.205.151.47]
shopping.qq.com	[203.205.138.57 203.205.138.79 203.205.158.59 203.205.158.37 203.205.158.38]
zebra.qq.com	[103.7.30.123]
legal.qq.com	[0.0.0.1]
xp.qq.com	[0.0.0.1]
reg.qq.com	[203.205.151.191]
ba.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
ua.qq.com	[0.0.0.1]
young.qq.com	[0.0.0.1]
work.qq.com	[203.205.151.14]
nr.qq.com	[203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79]
ny.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
post.qq.com	[0.0.0.1]
y.qq.com	[203.205.138.71 203.205.158.55 203.205.158.56 203.205.158.35 203.205.158.53 203.205.158.54 203.205.158.34]
mp3.qq.com	[203.205.158.34 203.205.138.71 203.205.158.55 203.205.158.56 203.205.158.35 203.205.158.53 203.205.158.54]
log.qq.com	[101.227.160.36]
kg.qq.com	[23.219.132.103]
page.qq.com	[117.135.175.146]
wallet.qq.com	[203.205.151.58]
wf.qq.com	[0.0.0.1]
studio.qq.com	[0.0.0.1]
ws.qq.com	[220.194.95.185]
fk.qq.com	[183.3.235.71 14.215.140.54]
pg.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
ml.qq.com	[0.0.0.1]
designer.qq.com	[203.205.151.247]
sb.qq.com	[183.232.94.102]
ye.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
yt.qq.com	[0.0.0.1]
buy.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
rss.qq.com	[103.7.30.123]
12.qq.com	[103.7.30.123]
nm.qq.com	[103.7.30.123]
bug.qq.com	[58.251.148.247 58.251.148.139]
8.qq.com	[0.0.0.1]
r2.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
public.qq.com	[0.0.0.1]
se.qq.com	[163.177.73.107]
win.qq.com	[203.205.142.199]
sh.qq.com	[203.205.151.47]
15.qq.com	[103.7.30.123]
tk.qq.com	[0.0.0.1]
av.qq.com	[0.0.0.1]
ns2.qq.com	[123.151.66.78 203.205.176.236 121.51.160.46]
18.qq.com	[0.0.0.1]
mu.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
map.qq.com	[203.205.128.186]
back.qq.com	[61.151.217.46 101.226.86.182]
ag.qq.com	[203.205.179.231 203.205.179.230]
nj.qq.com	[103.7.30.123]
sg.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
re.qq.com	[203.205.151.47]
ad.qq.com	[0.0.0.1]
golf.qq.com	[203.205.151.47]
no.qq.com	[203.205.151.26]
hub.qq.com	[0.0.0.1]
docs.qq.com	[203.205.151.50]
rose.qq.com	[183.61.38.186]
calendar.qq.com	[203.205.128.167]
ns3.qq.com	[183.192.201.116 112.60.1.69 182.140.177.149]
pk.qq.com	[0.0.0.1]
03.qq.com	[0.0.0.1]
ai.qq.com	[203.205.179.230 203.205.179.231]
mn.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
crm.qq.com	[112.90.77.139]
apollo.qq.com	[0.0.0.1]
pop.qq.com	[58.251.139.219 163.177.72.198]
yu.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
3.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
read.qq.com	[101.226.103.89]
wy.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
fi.qq.com	[101.226.86.182 61.151.217.46]
aa.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
mc.qq.com	[0.0.0.1]
java.qq.com	[61.151.217.46 101.226.86.182]
register.qq.com	[203.205.151.191]
aba.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
exchange.qq.com	[183.232.98.163]
nz.qq.com	[203.205.158.60 203.205.158.61 203.205.158.63 203.205.158.62]
talk.qq.com	[58.251.148.139 58.251.148.247]
mac.qq.com	[203.205.128.167]
disk.qq.com	[140.207.127.60]
tj.qq.com	[203.205.151.47]
mall.qq.com	[203.205.158.59 203.205.158.37 203.205.158.38 203.205.138.57 203.205.138.79]
wa.qq.com	[203.205.158.52 203.205.138.19 203.205.158.66]
act.qq.com	[203.205.147.195]
adb.qq.com	[203.205.142.183]
acts.qq.com	[203.205.151.47]
ace.qq.com	[0.0.0.1]
zw.qq.com	[203.205.158.62 203.205.158.60 203.205.158.61 203.205.158.63]
adi.qq.com	[0.0.0.1]
adc.qq.com	[0.0.0.1]
adn.qq.com	[0.0.0.1]
acc.qq.com	[203.205.151.14]
b2b.qq.com	[112.90.77.139]
accel.qq.com	[101.226.86.182 61.151.217.46]
action.qq.com	[0.0.0.1]
ah.qq.com	[103.7.30.123]
adnet.qq.com	[203.205.142.168]
ailab.qq.com	[0.0.0.1]
adidas.qq.com	[0.0.0.1]
agar.qq.com	[0.0.0.1]
age.qq.com	[203.205.158.61 203.205.158.63 203.205.158.62 203.205.158.60]
algo.qq.com	[193.112.232.94]
alert.qq.com	[0.0.0.1]
ali.qq.com	[139.199.125.51]
moon.qq.com	[0.0.0.1]
john.qq.com	[203.205.147.153]
amber.qq.com	[0.0.0.1]
ams.qq.com	[203.205.158.63 203.205.158.62 203.205.158.60 203.205.158.61]
android.qq.com	[0.0.0.1]
amp.qq.com	[0.0.0.1]
and.qq.com	[0.0.0.1]
ao.qq.com	[0.0.0.1]
apd.qq.com	[203.205.151.219 103.7.29.76 203.205.149.26 203.205.149.241 203.205.150.102 203.205.149.249 203.205.149.237]
apm.qq.com	[0.0.0.1]
asn.qq.com	[203.205.128.160]
